,ARTIST,ALBUM TITLE,Box #,Notes,Double,Type of Double
73,Brewer & Shipley,Weeds,1,,,
74,"Peter, Paul & Mary",Album 1700,1,,,
75,"Dylan, Bob",The Times They Are A Changin',1,,,
76,"Peter, Paul & Mary","Peter, Paul And Mommy",1,,,
77,Yes,Close To The Edge,1,,,
79,"Ian, Janis",Present Company,1,,,
80,"5th Dimension, Fabulous","July 5th Album, The",1,,,
81,"Youngbloods, The",Crab Tunes/Noggins,1,,,
82,"Associations, The",Greatest Hits,1,,,
83,"Paxton, Tom","Compleat Tom Paxton, The",1,Missing record 2 (sides 2 & 3),,
84,It's A Beautiful Day,Choice Quality Stuff/Anytime,1,,,
85,"Association, The","Association Live, The",1,Record 2 has thumb tack hole; live,X,
86,"Nilsson, Harry",Nilson Sings Newman,1,,,
87,"Kristofferson, Kris",Me And Bobby Mcgee,1,,,
88,"Steve Miller Band, The",Number 5,1,,,
89,"John, Elton",Friends,1,,,
90,Ten Years After,Ten Years After,1,,,
91,"Miles, Buddy",Them Changes,2,,,
92,Ultimate Spinach,Behold And See,2,,,
93,"Previn, Dory",Reflections In A Mud Puddle,2,,,
95,Poco,Poco,2,,,
96,Bread,Manna,2,,,
97,"Rascals, The",Freedom Suite,2,,X,
99,Lighthouse,One Fine Morning,2,,,
101,Jefferson Airplane,Volunteers,2,,,
102,"Cocker, Joe",With A Little Help From My Friends,2,,,
103,"Byrds, The",Greatest Hits,2,,,
104,"Blues Project, The",Planned Obsolescence,2,,,
105,"Beatles, The",Let It Be,2,,,
106,"Mayall, John",Thru The Years,2,"Album artwork lists two records, but we only have record #2 in the clean folder.",,
108,"Guess Who, The",Best Of The Guess Who,2,,,
109,Chicago,Chicago,2,,X,
110,"Blues Project, The",Projections,2,,,
111,Cream,Live Cream,2,,,
112,Donovan,"Best Of Donovan, The",2,,,
114,"Dylan, Bob",Greatest Hits,2,,,
115,"Greenwood, Mick","Living Game, The",2,,,
116,"Rolling Stones, The",Hot Rocks,2,Had to skip forward due to crack (side two),X,1/2
117,Donovan,Hurdy Gurdy Man,2,,,
118,Donovan,Donovan In Concert,2,Had to skip forward a song due to a long crack,,
119,"Dylan, Bob",John Wesley Harding,2,,,
120,"Dylan, Bob",Bringing It All Back Home,2,,,
121,Donovan,The Real Donovan,2,,,
122,"Doors, The",Waiting For The Sun,2,,,
123,"Hollies, The",Greatest Hits,2,,,
124,"Dylan, Bob",Nashville Skyline,2,,,
125,Three Dog Night,Suitable For Framing,2,,,
127,"5th Dimension, The",Stoned Soul Picnic,2,,,
129,Small Faces,The First Step,2,,,
130,Ten Years After,Ssssh,2,,,
132,"Mothers, The",Mothermania,2,,,
133,"Guthrie, Arlo",Arlo,2,,,
134,"Guthrie, Arlo",Running Down The Road,2,,,
135,Ten Years After,Cricklewood Green,2,,,
136,"Cocker, Joe",Mad Dogs And Englishmen,2,,X,1/4
137,Ten Years After,Stonedhenge,2,Record missing from case,,
138,Bread,On The Waters,2,,,
139,Donovan,Open Road,2,,,
140,Faces,A Nod Is As Good As A Wink..,2,,,
141,"Grateful Dead, The",Workingman's Dead,2,,,
142,Faces,Long Player,2,"Skipped near beginning, moved forward to next song",,
144,"Phillips, Shawn",Collaboration,2,,,
145,Quicksilver Messenger Service,Happy Trails,2,,,
146,Procol Harum,Home,2,,,
148,Quicksilver Messenger Service,Just For Love,2,Recording was very quiet - Re-record.,,
149,Derek & The Dominos,Layla And Other Assorted Love Songs,2,2nd record 2nd audio side recording quietly (TT #10 seems to do this),X,1/2
150,Delaney & Bonnie & Friends,Motel Shot,2,,,
151,"Incredible String Band, The",The Big Huge,2,,,
152,Curved Air,Second Album,2,,,
153,"Firesign Theatre, The",How Can You Be Two Places..,2,,,
154,Traffic,John Barleycorn Must Die,2,,,
155,Blind Faith,Blind Faith,2,,,
157,"Moody Blues, The",To Our Childrens Childrens Children,2,,,
158,"Emerson, Lake & Palmer",Pictures At An Exhibition,2,,,
159,"Green, Peter",The End Of The Game,2,,,
160,"Moody Blues, The",In Search Of The Lost Chord,2,,,
161,Brewer & Shipley,Shake Off The Demon,2,,,
164,"Travers, Mary",Mary,2,,,
165,"Nyro, Laura",Christmas And The Beads Of Sweat,2,,,
166,"Nyro, Laura",The First Songs,2,,,
168,"Crosby, Stills And Nash",Four Way Street,2,Side 3 and 4 (didn't come with 1&2),,
170,"Yardbirds, The",A Compleat Collection,2,,X,1/2
171,"Peter, Paul & Mary",See What Tomorrow Brings,2,,,
172,"Peter, Paul & Mary",A Song Will Rise,2,,,
173,"Peter, Paul & Mary",In Concert,2,Side 3 and 4 (didn't come with 1&2),,
174,"Yardbirds, The",The Yardbirds,3,,X,1/2
175,"Moody Blues, The",On The Threashold Of A Dream,3,,,
176,"Taylor, James",Sweet Baby James,3,,,
177,Savoy Brown,Street Corner Talking,3,,,
178,"Siegel-Schwall Band, The",,3,,,
179,"Peter, Paul & Mary","The Best Of, Ten Years Together",3,DONE RE-RECORDING,,
180,Mountain ,Flowers of Evil,3,,,
182,"Mamas And The Papas, The",A Gathering of Flowers: An Anthology of the Mamas and the Papas,3,Live,X,1/4
183,Various,Medicine Ball Caravan (Soundtrack),3,,,
184,"Moody Blues, The",A Question Of Balance,3,,,
185,Traffic,The Best Of Traffic,3,,,
186,Blues Image,Open,3,,,
188,"Flack, Roberta",Chapter 2,3,,,
189,"Rush, Tom",Wrong End Of The Rainbow,3,,,
190,Fleetwood Mac,Future Games,3,,,
191,"Coolidge, Rita",Nice Feelin',3,,,
192,Pentangle,Cruel Sister,3,,,
193,"Guess Who, The",American Woman,3,,,
194,"Doors, The",Other Voices,3,,,
196,Deep Purple,In Rock,3,,,
197,Deep Purple,In Live Concert,3,DONE RE-RECORDING,,
199,"Dylan, Bob",Highway 61 Revisited,3,,,
200,"Feliciano, Jose",Souled,3,,,
201,"Rivers, Johnny",Homegrown,3,,,
203,Santana,Abraxas,3,,,
204,"Morricone, Ennio",Film Music Volume 2,3,,,
205,"Mendes, Sergio",Fool On The Hill,3,,,
206,"Beatles, The",Abbey Road,3,,,
207,"Hendrix, Jimi",Are You Experienced?,3,,,
208,"Beatles, The",Sgt Pepper's Lonely Hearts Club Band,3,,,
209,"Animals, The",Evry One Of Us,3,No image?,,
210,"Crosby, Stills, Nash And Young",Deja Vu,3,No image?,,
211,Cream,Disraeli Gears,3,No image?,,
212,Three Dog Night,Captured Live At The Forum,3,No image? (live album),,
213,"Mothers Of Invention, The",Ruben And The Jets,3,No image?,,
214,"Mothers Of Invention, The",Playground Psychotics,3,No image? (A/B tracked),,
215,"Harrison, Mike",Smokestack Lightning,3,No image?,,
217,Deep Purple,The Book Of Taliesyn,3,No image?,,
218,Three Dog Night,Three Dog Night,3,No image?,,
219,Ultimate Spinach,Ultimate Spinach,3,No image?,,
221,"Joplin, Janis",Kozmic Blues,3,No image?,,
222,"Beatles, The",White Album,3,,X,1/2
223,"Hartford, John",Aereo-Plain,3,,,
224,Foghat,Foghat,3,,,
225,"Sebastian, John B.",John B. Sebastian,3,,,
226,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",3,,,
227,Captain Beefheart,Mirror Man,3,"Was skipping, pushed forward a bit",,
228,"Hendrix, Jimi",Electric Ladyland,3,,X,1/4
230,"Doors, The",Absolutely Live,3,,X,1/2
231,James Gang,Thirds,3,,,
232,"Animals, The",Greatest Hits Of Eric Burdon And T,3,,,
234,"Cooper, Alice",Love It To Death,3,,,
235,"Who, The",A Quick One/Sellout,3,,X,1/2 
236,Love,Out Here,3,,X,1/4
238,"Newman, Thunderclap",Hollywood Dream,3,,,
239,"Guess Who, The",Canned Wheat,3,No image?,,
240,"Who, The",My Generation/Magic Bus,3,"Only ""Magic Bus"" (LP 2) included?",,
241,Steppenwolf,Steppenwolf 7,3,,,
242,Brain Auger's Oblivion Express,A Better Land,3,,,
243,Iron Butterfly,In-A-Gadda-Da-Vida,3,,,
244,Iron Butterfly,Metamorphisis,3,,,
245,"Collins, Judy",Who Knows Where The Time Goes,3,,,
246,"Rolling Stone, The",Through The Past Darkly(Big Hits V,3,DONE RE-RECORDING,,
247,"Rolling Stones, The",Beggars Banquet,3,,,
248,"Mayall, John; Jerry McGee; Larry Taylor",Memories,4,,,
250,Simon And Garfunkel,Bridge Over Troubled Water,4,,,
251,"Barbieri, Gato",Chapter One: Latin America,4,,,
253,"Guess Who, The",Share The Land,4,,,
254,Goose Creek Symphony,Welcome To Goose Creek,4,,,
255,"Rollin Stones, The",Get Yer Ya-Yas Out,4,,,
258,J. Geils Band,The Morning After,4,,,
260,"Havens, Richie",Mixed Bag,4,,,
261,"Prine, John",Diamonds In The Rough,4,No back cover image,,
262,"Ochs, Phil",Pleasures Of The Harbor,4,,,
264,"Dylan, Bob",Blonde On Blonde,4,,X,1/2 + 1/2
265,"Nyro, Laura",New York Tendaberry,4,,,
267,"Beach Boys, The",Best Of,4,,,
268,Fairport Convention,Full House,4,DONE RE-RECORDING,,
269,Jefferson Airplane,Bark,4,,,
271,Yes,Yes,4,,,
272,"Beach Boys, The",Sunflower,4,,,
273,"Seeger, Pete",Now,4,,,
274,"Rhodes, Emitt",Mirror,4,,,
275,"Baldry, Long John",Long John Blues,4,,,
276,"Entwistle, John",Smash Your Head Against The Wall,4,,,
277,"Havens, Richard P.",1983,4,Each record has its own case,X,1/2
278,"Beach Boys, The",Friends,4,,,
279,"Mamas And The Papas, The",People Like Us,4,,,
280,"Beach Boys, The",Smiley Smile,4,,,
281,"Bee Gees, The","Rare, Precious And Beautiful",4,,,
283,"Cooper, Alice",Killer,4,,,
284,"Association, The",Windy,4,,,
285,"Feliciano, Jose",That The Spirit Needs,4,,,
286,"Animals, The",The Twain Shall Meet,4,,,
288,B.B. Blunder,Workers' Playtime,4,,,
289,"Association, The",Birthday,4,,,
291,"Rolling Stones, The",Out Of Our Heads,4,,,
292,"Doors, The",Morrison Hotel,4,,,
293,"Beatles, The",Something New,4,,,
294,"Russell, Leon And Marc Benno",Asylum Choir 2,4,,,
295,Little Richard,King Of Rock And Roll,4,,,
298,"Turner, Ike And Tina",Nuff Said,4,,,
299,"Havens, Richie",Stonehenge,4,,,
302,Steppenwolf,The Second,4,,,
303,"Havens, Richie",The Great Blind Degree,4,,,
306,"Lovin' Spoonful, The",The Very Best,4,,,
307,"Moody Blues, The",Days Of Fututre Passed,4,,,
308,Creedence Clearwater Revival,Willy And The Poor Boys,4,,,
310,"Beatles, The",Second Album,4,"Gap in track 2, rerecord",,
311,Ides Of March,Vehicle,4,,,
312,Melanie,Gather Me,4,,,
313,"Band, The",Music From Big Pink,4,,,
314,Savoy Brown,Looking In,4,,,
315,"Band, The",The Band,4,,,
317,Pearls Before Swine,The Use Of Ashes,4,,,
319,"Rascals, The",Greatest Hits,4,,,
320,"Rolling Stones, The",Their Satanic Majesties Request,4,,,
321,"Rolling Stones, The",Big Hits(High Tide And Green Grass,4,,,
323,"Redding, Otis",At The Whiskey A Go Go,4,,,
324,"Rivers, Johnny",Rewind,4,,,
325,"Redding, Otis",Otis Blue,4,,,
327,"Redding, Otis & Jimi Hendrix",Monterey Pop Festival,4,,,
328,"Who, The",Meaty Beaty Big And Bouncy,4,,,
331,Seals & Crofts,Year Of Sunday,4,,,
332,"Beatles, The",1965,4,,,
333,"Rolling Stones, The",December's Children,4,,,
334,Pearls Before Swine,City Of Gold,4,,,
335,"Grateful Dead, The",Grateful Dead,4,,X,1/2
336,"Sebastian, John",Real Live,4,DONE RE-RECORDING,,
337,"Diamond, Neil",Stones,4,,,
338,"Cosby, Bill",For Adults Only,,,,
340,"Rolling Stones, The",Aftermath,4,,,
341,Jefferson Airplane,Surrealistic Pillow,4,,,
342,Simon And Garfunkel,"Wednesday Morning, 3 A.M.",4,,,
344,"Rundgren, Todd",Runt,4,,,
346,"Allman Brothers Band, The",The Allman Brothers Band,4,,,
347,Spirit,Clear,4,,,
348,"Guthrie, Arlo",Hobo's Lullabye,4,,,
350,Cream,Wheels Of Fire,4,,X,1/2
351,Grand Funk Railroad,On Time,4,,,
352,"Friends Of Distinction, The",Whatever,4,,,
354,Colosseum,Live,5,,X,1/4
355,"Beatles, The",6,5,,,
356,"Mayall, John",Back to the Roots,5,,X,1/2
358,T Rex,Electric Warrior,5,,,
359,"Guthrie, Arlo",Washington County,5,,,
360,"Band, The",Stage Fright,5,,,
361,"Incredible String Band, The",The Incredible String Band,5,,,
363,"Beatles, The",Magical Mystery Tour,5,,,
364,Atomic Rooster,In Hearing Of.,5,,,
366,"Blood, Sweat and Tears","Blood, Sweat And Tears",5,,,
368,Creedence Clearwater Revival,Bayou Country,5,,,
369,"Bee Gees, The",Best Of The Bee Gees,5,,,
370,"Mendes, Sergio",Tropical,5,,,
371,"Who, The",Live At Leeds,5,,,
372,Moby Grape,1969,5,,,
373,"Rhodes, Emitt",The American Dream,5,,,
374,Melanie,Born To Be,5,,,
376,Steppenwolf,Live,5,Sides B&C of 2-LP album,,
377,"Nazz, The",Nazz Nazz,5,,,
378,"Beatles, The",Meet The Beatles,5,,,
379,"Stewart, Rod",Gasoline Alley,5,,,
380,"Neon Philharmonic, The",The Moth Confesses,5,,,
381,Crazy Horse,Crazy Horse,5,,,
382,Bread,The Best Of Bread,5,,,
384,"Who, The",Tommy,5,,X,1/4
385,"Flack, Roberta",First Take,5,,,
387,Eric Quincy Tate Group,Drinking Man's Friend,,Record location unknown. Did not get recorded.,,
389,Donovan,For Little Ones,5,,,
390,Three Man Army,A Third Of A Lifetime,5,,,
391,"Youngbloods, The",The Best Of.,5,,,
392,Spooky Tooth,Spooky Two,5,,,
393,Creedence Clearwater Revival,Green River,5,,,
394,Creedence Clearwater Revival,Creedence Clearwater Revival,5,,,
400,Atlanta Rhythm Section,Atlanta Rhythm Section,5,,X,1/2
402,Donovan,Barabajagal,5,,,
403,Led Zeppelin,2,5,,,
404,Gun,Gun,5,,,
405,Spooky Tooth,Ceremony,5,,,
406,Led Zeppelin,Led Zeppelin,5,,,
407,"Beatles, The",Yesterday And Today,5,,,
408,Cream,Fresh,5,,,
409,"Clapton, Eric",Eric Clapton,5,DONE RE-RECORDING,,
410,Rolling Stones,Let It Bleed,5,,,
411,Nillsson,Ariel Ballet,5,,,
412,Wheatfield Soul,The Guess Who?,5,,,
413,"Youngbloods, The",Get Together,5,,,
414,"King, Carole",Carole King Music,5,,,
415,Liv,Liv,5,,,
417,"Guthrie, Arlo",Alice's Restaurant,5,,,
418,Frijid Pink,Frijid Pink,5,,,
419,Various,Woodstock Soundtrack,5,,XX,x3
420,Family,Anyway,5,,,
421,"Nilsson, Harry",Harry,5,,,
422,"Doors, The",The Soft Parade,5,,,
423,Nillsson,Pandamonium Shadow Show,5,,,
424,Argebc,Argebc,5,,,
425,Zephyr,Zephyr,5,,,
426,Led Zeppelin,Led Zeppelin 3,5,,,
427,"McCartney, Paul",McCartney,5,,,
429,"Rascals, The",See,5,,,
430,Grand Funk Railroad,Grand Funk,5,,,
431,"Firesign Theater, The","Don't Crush That Dwarf, Hand Me",5,,,
432,Boz Scaggs & Band,Boz Scaggs & Band,5,,,
433,"Winters, Jonny",First Winter,5,,,
435,"Youndbloods, The",Elephant Mountain,5,,,
436,Melanie,Left Over Wine,5,,,
438,"Williams, Mason",Hand Made,5,,,
440,"Fifth Dimension, The",Greatest Hits On Earth,6,,,
441,"Chapin, Harry",On The Road To Kingdom Come,6,,,
442,"Paxton, Tom",Number Six,6,,,
443,"Young, Neil",Everybody Knows This Is Nowhere,6,(actually marked 443A),,
444,Simon And Garfunkel,Book Ends,6,,,
445,Chicago,Transit Authority,6,,X,1/2
446,"Young, Neil",After The Gold Rush,6,,,
447,"Cocker, Joe",!,6,Recorded at 45 rpm,,
448,"Blood, Sweat and Tears",Child is Father to Man,6,,,
449,"Beatles, The",Hey Jude,6,,,
451,"Berry, Chuck",London Chuck Berry Sessions,6,,,
452,"Winter, Jonny",And,6,,,
453,"Dylan, Bob",Self Portrait,6,,X,1/2
454,Marrying Maiden,It's A Beautiful Day,6,,,
455,Sweetwater,Just For You,6,,,
456,"Buckley, Tim",Star Sailor,6,,,
457,Sly And The Family Stone,Life,6,,,
458,"New York Rock Ensemble, The",Roll Over,6,,,
459,"Small Faces, The",Ogden's Not Gone Flake,6,DONE RE-RECORDING,,
460,Climax Blues Band,Plays On,6,,,
462,"Gee, Arthur",Arthur Gee,6,,,
464,"Rhodes, Emitt",Emitt Rhodes,6,,,
466,"John, Elton",Elton John,6,Recorded at 45 rpm - ship from WTUL,,
467,"Kantner, Paul",Sunfighter,6,,,
470,"Animals, The",In The Beginning,6,,,
473,"Walker, Jerry Jeff",Bein' Free,6,,,
475,Mathew's Southern Comfort,Second Spring,6,,,
478,Love,Revisited,6,,,
479,Brownsville Station,Brownsville Station,6,,,
480,"Witherpoon, Jimmy, And Eric Burdon",Guilty,6,,,
482,Argent,Ring Of Hands,6,,,
485,"Stills, Stephen","Stills, Stephen",6,,,
486,"Grateful Dead, The",American Beauty,6,,,
488,Pink Floyd,Atom Heart Mother Suite,6,,,
489,Jade Warrior,Last Autum's Dream,6,,,
491,"Collins, Judy",Whales And Nightengales,6,,,
492,Three Dog Night,Naturally,6,,,
493,Frijid Pink,Defrosted,6,,,
494,Lovecraft,Valley Of The Moon,6,,,
495,"Kinks, The",Part One,6,,,
496,Uriah Heep,Uriah Heep,6,,,
497,Watt,Ten Years After,6,,,
499,"Greebaum, Norman",Back Home Again,6,,,
500,Jefferson Airplane,The Worst Of,6,,,
502,"Doors, The",13,6,,,
503,Brewer & Shipley,Tarkio Road,6,,,
504,"Havens, Richie",Alarm Clock,6,,,
507,Glass Harp,Synergy,6,,,
510,Barclay James Harvest,Barclay James Harvest,6,,,
514,Blue Cheer,The Original Human Being,6,,,
515,Hello People,Have You Seen The Light,6,,,
516,Spirit,Twelve Dreams Of Dr. Sardonicus,6,,,
517,"Burdon, Eric",Black Man's Burdon,6,"Second LP Google ID'd as the Commodores, not sure which album",X,1/2
518,Creedence Clearwater Revival,Pendulum,6,,,
520,Jefferson Starship,Blows Against The Empire,6,,,
522,"Harrison, George",All Things Must Pass,6,DONE RE-RECORDING,XX,1/2
523,"John, Elton",Tumbleweed Connection,6,,,
524,"Bee Gees, The",Two Years On,6,,,
525,Flit Mcguinness,Flit Mcguinness,6,,,
526,Elephants Memory,Take It To The Streets,6,,,
527,"Wishbone, Ash",Ash Wishbone,6,,,
528,Free,Highway,6,Starts quiet - re-record?,,
529,Cactus,Restrictions,6,,,
530,Sisyphus,Cold Blood,6,,,
531,"Holmes, Jake","So Close, So Very Far To Go",6,,,
532,Melanie,The Good Book,6,,,
534,Fever Tree,For Sale,6,,,
535,"Rush, Tom",Classic Rush,6,,,
536,Zephyr,Going Back To Colorado,6,,,
538,Isaac Brothers And Jimi Hendrix,In The Beginning,6,,,
539,"Colisseum, The",Daughter Of Time,6,,,
540,"Stevens, Cat",Tea For The Tillerman,6,,,
541,Lindis Farm,Dingly Dell,6,,,
542,"Becker, Jeff",Rough And Ready,6,,,
543,"Guess Who, The","So Long, Bannatyne",6,,,
545,Quicksilver,What About Me,6,DONE RE-RECORDING,,
546,"Lennon, John",Plastic Ono Band,6,,,
547,"Byrds, The",Untitled,6,,X,1/2
548,"Grateful Dead, The",Live/Dead,6,,X,1/4
549,"Stevens, Cat",Mona Bone Jakon,6,,,
550,San Francisco Sound,It's A Beautiful Day,6,,,
552,"Hendrix, Jimi",The Cry Of Love,6,,,
553,Three Dog Night,Gold And Biscuits,6,,,
554,Mcdonald And Giles,Untitled,6,,,
555,Sha-Na-Na,The Night Is Still Young,6,,,
556,"Mommas And The Poppas, The",Historic Performances At The Monte,6,,,
557,"Taylor, Alex",With Friends And Neighbors,6,,,
558,Steppenwolf,Their Great Hits,6,,,
560,"Rascals, The",Search And Nearness,6,,,
561,"Lovin' Spoonful, The",Once Upon A Time,6,,,
562,"King, Carole",Tapestry,6,,,
563,Grand Funk Railroad,Survival,6,,,
564,Yes,The Yes Album,6,,,
565,"Phillips, Shawn",Second Contribution,6,,,
566,"Taylor, James",Mudslide Slim,6,,,
567,Jethro Tull,Aqualung,,,,
569,Crosby Stills Nash And Young,Four Way Street,,,X,1/2
570,"Rolling Stones, The",Sticky Fingers,,,,
571,"Doors, The",La Woman,,,,
572,Procol Harum,Broken Barricades,,,,
573,Yes,Time And A Word,,,,
574,Angel Delight,Fairport Convention,,,,
576,Laura Nyro And Labelle,Gonna Take A Miracle,,,,
579,"Baldry, John",It Ain't Easy,,,,
580,"Robey, Falk, And Bod",Kentucky Gambler,,,,
583,Hot Tuna,Hot Tuna,,"Previously labeled ""25A"" not sure why... Changed to match number on LP cover",,
585,If^3,Untitled,,,,
586,"Gibson, Bob",Bob Gibson,,,,
587,Sparks,A Woofer In Tweeter's Clothing,,,,
588,Black Oak Arkansas,Black Oak Arkansas,,,,
589,Sha-Na-Na,Kama Sutra,,,,
590,"Gosh, Bobby",Bobby Gosh,,,,
592,"Winwood, Stevie",Winwood,,,X,1/4
593,"Colombia, Michel",Wings,,,,
594,Atomic Rooster,Death Walks Behind You,,,,
601,Rich Mountain Tower,Rich Mountain Tower,,,,
602,Game,Game,,,,
603,Tobacco Road,Spooky Tooth,,,,
607,Evensong,The Amazing Blondel,,,,
608,"Small Faces, The","History Of Small Faces, The",,,,
609,"Hardin, Tim",Painted Head,,,,
610,"Rundgren, Todd",The Ballad Of Todd Rundgren,,DONE RE-RECORDING,,
612,"Paxton, Tom",How Come The Sun,,,,
613,Murray Head,Nigel Lived,,,,
614,Youngbloods,Ride The Wind,,,,
615,"Dylan, Bob",Bob Dylan's Greatest Hits Vol.2,,,X,1/2
618,Free,Free Live!,,,,
619,Earthquake,Earthquake,,,,
620,"Emerson, Lake & Palmer",Tarkus,,,,
621,"Olsson, Nigel","Drum, Orchestra, And Chorus",,DONE RE-RECORDING,,
622,"Michaels, Lee",5th,,,,
623,Steve Miller Band,Recall The Beginning.A Journey Fro,,,,
624,Wishbone Ash,Pilgrimage,,,,
625,"Rose, Biff",The Thorn In Mrs.Rose's Side,,,,
626,"Rose, Biff",Childern Of Light,,,,
627,Common Bond,The Ides Of March,,,,
628,"Kristoffersen, Kris",The Silver Tongued Devil And I,,,,
629,"Byrds, The",Byrdmaniax,,,,
630,Edgar Winter's White Trash,Edgar Winter's White Trash,,,,
631,"Coltrane, John",The Gentle Side Of John Coltrane,,,X,1/4
632,"Blood, Sweat and Tears","B, S and T:4",,,,
633,Chase,Chase,,,,
634,"Lightfoot, Gordon",Summerside Of Life,,,,
635,"Kottke, Leo",Mudlark,,,,
637,"Almond, Mark","Almond, Mark",,,,
638,"Kershaw, Doug","Kershaw, Doug",,,,
639,"James, Tommy",Christian Of The World,,,,
640,"Stills, Stephen",Stephen Stills 2,,,,
641,"Nash, Graham",Songs For Beginners,,,,
642,Lightfoot,The Best Of Lightfoot,,,,
643,"James Gang, The",Live In Concert,,,,
644,"Mccartney, Paul And Linda",Ram,,,,
645,Leon Russell And Shelter People,Leon Russell And Shelter People,,,,
646,"Stewart, Rod",Every Picture Tells A Story,,,,
647,"Moody Blues, The",Every Good Boy Deserves Favour,,,,
649,Country Joe and the Fish,From Haight-Ashbury To Woodstock,,,X,"1/2, 1/2"
651,New Writers Of The Purple Sage,New Writers Of The Purple Sage,,,,
652,Poco,From The Inside,,,,
653,Dr.John The Night Tripper,"Son, Moon, And Herbs",,No record or case in this pile. Location unknown.,,
654,"Bee Gees, The",Trafalgar,,,,
655,"Byrds, The",Farther Along,,,,
657,"Baez, Joan",Blessed Are.,,,X,"1/2, 1/2"
659,"Baldry, Long John",Wait For Me,,,X,1/2
660,Moby Grape,20 Granite Creek,,,,
661,Amazing Blondel,England,,,,
662,"Sebastian, John",The Four Of Us,,,,
663,Raices,Raices,,,,
664,Black Sabbath,Mastery Of Reality,,,,
665,"Beach Boys, The",Surfs Up,,LP is actually 20/20 by The Beach Boys,,
668,"Turner, Tina And Ike",What You Hear Is What You Get Live,,,X,1/4
669,King Crimson,In The Court Of King Crimson,,Recorded at 45 rpm - ship from WTUL,,
670,"Firesign Theatre, The",I Think Were All Bozos On This Bus,,,,
671,Various,"Isle Of White, The ",,MISSING LP #3,XX,"1/2, 1/2, 1/2"
672,"Miles, Buddy",Live,,,X,"1/2, 1/2"
673,Various,Welcome To The Cantina,,,,
674,Ten Years After,A Space In Time,,,,
676,"King, B.B.",Live At The Regal,,,,
678,Badfinger,Straight Up,,,,
679,"Tempations, The",Masterpiece,,,,
680,"King, B.B.",In London,,,,
683,"Allman Brothers, The",Live At The Fillmore East,,,X,1/2
685,Traffic,The Low Spark Of High Heeled Boys,,,,
686,Quicksilver Messenger Service,Quicksilver,,,,
687,Wings,Wild Life,,Recorded at 45 rpm - ship from WTUL,,
